## RECSRecommendations Upload File,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,
## RECS,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,
## RECSentity.id,entity.pageUrl,entity.Category,entity.author,entity.title,entity.description,entity.publishingdate,entity.articleimageUrl,entity.readingtime,entity.pageUrl
e3f71e66-787b-3026-91d8-0c80dfef877a,https://www.lseg.com/en/insights/data-analytics/investors-seize-fresh-opportunity-in-us-municipal-debt-market,Article,Christian Neilson,Investors seize fresh opportunity in US municipal debt market,"Discover why the US municipal bond market is thriving in 2024, driven by robust issuance, strong inflows, and key fundamentals. Learn more with LSEG insights.",17/10/2025,https://www.lseg.com/content/dam/data-analytics/en_us/insights/images/photography/thumbnail/lda3026022-markets-economy-thumb-768x432-1j.jpg,7 min,https://www.lseg.com/en/insights/data-analytics/investors-seize-fresh-opportunity-in-us-municipal-debt-market
43775037-8828-3d75-98ee-ca262637dec8,https://www.lseg.com/en/insights/macro-microscope/valuation-re-rating-emerging-markets,Video,Indrani De & John Dioufas,Valuation re-rating of emerging markets | LSEG,2025's first Macro Microscope explores a key topic reflecting the changing global landscape: the valuation re-rating of emerging markets (EMs). Watch the episode to learn more.,17/10/2025,https://www.lseg.com/content/dam/data-analytics/en_us/insights/images/photography/thumbnail/lda3026022-markets-economy-thumb-768x432-1j.jpg,8 min,https://www.lseg.com/en/insights/macro-microscope/valuation-re-rating-emerging-markets
8678682f-e3a1-3477-8488-519a99c5c13e,https://www.lseg.com/en/insights/data-analytics/2025-year-ahead-us-outlook-macro-equities-rmbs-cmbs-clo-insights,Article,"Tajinder Dhillon, Dewi John, Luke Lu, Robin Marshall and Irene Shi","2025 year-ahead US outlook: Macro, equities, funds, RMBS, CMBS, and CLO insights","Initial market reactions to the outcome of the 2024 U.S. Presidential and Congressional elections broadly followed the 2016 playbook, with equities outperforming Treasuries, curves steepening, and the term premium increasing. Learn more in this insight.",28/01/2025,https://www.lseg.com/content/dam/data-analytics/en_us/insights/images/photography/thumbnail/lda3026022-markets-economy-thumb-768x432-1j.jpg,8 min,https://www.lseg.com/en/insights/data-analytics/2025-year-ahead-us-outlook-macro-equities-rmbs-cmbs-clo-insights
ec03af6c-da18-383f-94f9-6dd566da094e,https://www.lseg.com/en/insights/data-analytics/how-green-economy-exposure-can-help-diversify-your-portfolio,Article,Sarlota Lujza Hohwald,How green economy exposure can help to diversify your portfolio,"This insight delves into key sustainable investing considerations within the wealth management space, highlighting the evolving role of ESG data and the benefits of investing in the green economy.",17/10/2025,https://www.lseg.com/content/dam/data-analytics/en_us/insights/images/photography/thumbnail/lda3026022-sustainability-thumb-768x432-b.jpg,6 min,https://www.lseg.com/en/insights/data-analytics/how-green-economy-exposure-can-help-diversify-your-portfolio
8f945dea-193c-344c-a10a-b48dff63b01c,https://www.lseg.com/en/insights/data-analytics/transforming-connection-collaboration-across-financial-services,Article,Dean Berry,Transforming connection and collaboration across financial services,"Now, in partnership with LinkedIn, LSEG is integrating LinkedIn functionality into the Open Directory pilot app within Teams. Learn more in this insight.",23/01/2025,https://www.lseg.com/content/dam/data-analytics/en_us/insights/images/photography/thumbnail/lda3026022-future-of-investing-thumb-768x432-1o.jpg,4  min,https://www.lseg.com/en/insights/data-analytics/transforming-connection-collaboration-across-financial-services
5dfebf5a-0e68-3325-835d-11533a595f07,https://www.lseg.com/en/insights/data-analytics/news-alpha-predicting-post-earnings-drift-us-markets,Article,Amit Das,Using news to predict post-earnings drift in US markets | LSEG,This insight explores the predictive power of news data on post-earnings price movements in the US stock market.,27/01/2025,https://www.lseg.com/content/dam/data-analytics/en_us/insights/images/photography/thumbnail/lda3026022-fin-tech-thumb-768x432-c.jpg,7 min,https://www.lseg.com/en/insights/data-analytics/news-alpha-predicting-post-earnings-drift-us-markets
2ee9a6d2-65e2-3fed-bbba-30d94bea2e31,https://www.lseg.com/en/insights/data-analytics/fragmented-markets-unified-solutions-tackling-liquidity-with-lseg,Article,Alexandre Hardouin,"Fragmented markets, unified solutions: Tackling liquidity with LSEG | LSEG","Discover how LSEG's tools and analytics tackle fragmented liquidity, empowering traders and fund managers with real-time insights and smarter execution strategies.",28/01/2025,https://www.lseg.com/content/dam/data-analytics/en_us/insights/images/photography/thumbnail/lda3026022-markets-economy-thumb-768x432-1s.jpg,7 min,https://www.lseg.com/en/insights/data-analytics/fragmented-markets-unified-solutions-tackling-liquidity-with-lseg
dc6a56c8-4b4b-325a-829c-6def238b49a5,https://www.lseg.com/en/insights/data-analytics/california-wildfire-challenges-effects-on-the-fixed-income-markets,Article,Christian Neilson,California wildfire challenges: Effects on the fixed income markets | LSEG,"California wildfires are shaking bond markets, widening municipal spreads, and triggering corporate lawsuits. Learn how investors are navigating the risks.",29/01/2025,https://www.lseg.com/content/dam/ftse-russell/en_us/insights/images/photography/thumbnail/fr2817020-innovation-thumb-768x432-d.jpg,7 min,https://www.lseg.com/en/insights/data-analytics/california-wildfire-challenges-effects-on-the-fixed-income-markets
772cb3af-473a-3d23-a0a3-0b1174b228f0,https://www.lseg.com/en/insights/macro-microscope/potential-financial-market-implications-trade-uncertainty,Video,Indrani De & John Dioufas,Potential financial market implications from trade uncertainty | LSEG,"In this episode of Macro Microscope, Indrani De and John Dioufas delve into the potential financial market implications from trade uncertainty. Watch the episode to learn more.",19/02/2025,https://www.lseg.com/content/dam/ftse-russell/en_us/images/photography/artworked/thumbnail/macro-microscope-thumb.png.transform/rect-768/q90/image.png,7 min,https://www.lseg.com/en/insights/macro-microscope/potential-financial-market-implications-trade-uncertainty
2c609ece-916f-30ac-9441-fe3c40c16f6d,https://www.lseg.com/en/insights/data-analytics/is-the-freight-recession-finally-over-j-b-hunt-thinks-so,Article,Tajinder Dhillon,Is the freight recession finally over? J B Hunt thinks so ,JB Hunt signals the end of the freight recession as volumes rise and intermodal demand hits record highs. Is the freight market finally rebounding?,20/02/2025,https://www.lseg.com/content/dam/data-analytics/en_us/insights/images/photography/thumbnail/lda3026022-trade-commodities-thumb-768x432-c.jpg,18 min,https://www.lseg.com/en/insights/data-analytics/is-the-freight-recession-finally-over-j-b-hunt-thinks-so
